Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,-1,360.0,-1.0,-1.0,7837,1.0,0.0
0.0,true,-1,302.0,-1.0,-1.0,8352,1.0,0.0
0.0,true,-1,472.0,-1.0,-1.0,10640,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,8534,1.0,0.0
0.0,true,-1,318.0,-1.0,-1.0,6506,1.0,0.0
0.0,true,-1,422.0,-1.0,-1.0,14967,1.0,0.0
0.0,true,-1,410.0,-1.0,-1.0,12072,1.0,0.0
0.0,true,-1,386.0,-1.0,-1.0,9337,1.0,0.0
0.0,true,-1,374.0,-1.0,-1.0,10961,1.0,0.0
0.0,true,-1,408.0,-1.0,-1.0,8809,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,10194,1.0,0.0
0.0,true,-1,350.0,-1.0,-1.0,9222,1.0,0.0
0.0,true,-1,490.0,-1.0,-1.0,14810,1.0,0.0
0.0,true,-1,444.0,-1.0,-1.0,10363,1.0,0.0
0.0,true,-1,382.0,-1.0,-1.0,10297,1.0,0.0
0.0,true,-1,366.0,-1.0,-1.0,7075,1.0,0.0
0.0,true,-1,310.0,-1.0,-1.0,9465,1.0,0.0
0.0,true,-1,338.0,-1.0,-1.0,9428,1.0,0.0
0.0,true,-1,316.0,-1.0,-1.0,8211,1.0,0.0
0.0,true,-1,402.0,-1.0,-1.0,9795,1.0,0.0
0.0,true,-1,558.0,-1.0,-1.0,14814,1.0,0.0
0.0,true,-1,352.0,-1.0,-1.0,7478,1.0,0.0
0.0,true,-1,378.0,-1.0,-1.0,8736,1.0,0.0
0.0,true,-1,376.0,-1.0,-1.0,7701,1.0,0.0
0.0,true,-1,316.0,-1.0,-1.0,9231,1.0,0.0
0.0,true,-1,452.0,-1.0,-1.0,12215,1.0,0.0
0.0,true,-1,372.0,-1.0,-1.0,9715,1.0,0.0
0.0,true,-1,308.0,-1.0,-1.0,6391,1.0,0.0
0.0,true,-1,450.0,-1.0,-1.0,11680,1.0,0.0
0.0,true,-1,548.0,-1.0,-1.0,17317,1.0,0.0
0.0,true,-1,352.0,-1.0,-1.0,10834,1.0,0.0
0.0,true,-1,334.0,-1.0,-1.0,7601,1.0,0.0
0.0,true,-1,396.0,-1.0,-1.0,11075,1.0,0.0
0.0,true,-1,306.0,-1.0,-1.0,7913,1.0,0.0
0.0,true,-1,398.0,-1.0,-1.0,9001,1.0,0.0
0.0,true,-1,472.0,-1.0,-1.0,14011,1.0,0.0
0.0,true,-1,340.0,-1.0,-1.0,9157,1.0,0.0
0.0,true,-1,346.0,-1.0,-1.0,8732,1.0,0.0
0.0,true,-1,466.0,-1.0,-1.0,9967,1.0,0.0
0.0,true,-1,454.0,-1.0,-1.0,12921,1.0,0.0
0.0,true,-1,330.0,-1.0,-1.0,8268,1.0,0.0
0.0,true,-1,382.0,-1.0,-1.0,10211,1.0,0.0
0.0,true,-1,366.0,-1.0,-1.0,9065,1.0,0.0
0.0,true,-1,320.0,-1.0,-1.0,7406,1.0,0.0
0.0,true,-1,404.0,-1.0,-1.0,8490,1.0,0.0
0.0,true,-1,442.0,-1.0,-1.0,9000,1.0,0.0
0.0,true,-1,428.0,-1.0,-1.0,12704,1.0,0.0
0.0,true,-1,356.0,-1.0,-1.0,7524,1.0,0.0
0.0,true,-1,328.0,-1.0,-1.0,7990,1.0,0.0
0.0,true,-1,398.0,-1.0,-1.0,10431,1.0,0.0
0.0,true,-1,412.0,-1.0,-1.0,10971,1.0,0.0
0.0,true,-1,472.0,-1.0,-1.0,12719,1.0,0.0
